SamplePoint_ID SamplePointX SamplePointY SamplePointZ ColorR ColorG ColorB ColorA
PT_0125 -2.2230 0.1020 -0.6330 0.0000 0.0000 1.0000 1.0000
PT_0126 -2.2230 0.1020 -0.9610 0.0000 0.0000 1.0000 1.0000
PT_0127 -2.2230 0.1020 -1.2890 0.0000 0.0000 1.0000 1.0000
PT_0128 -2.2230 0.1020 -1.6180 0.0000 0.0000 1.0000 1.0000
PT_0129 -2.2230 0.1020 -9.1690 0.0000 0.0000 1.0000 1.0000
PT_0130 -2.2230 0.1020 -9.4970 0.0000 0.0000 1.0000 1.0000
PT_0131 -2.2230 0.1020 -9.8250 0.0000 0.0000 1.0000 1.0000
PT_0132 -2.2230 0.1020 -10.1540 0.0000 0.0000 1.0000 1.0000
PT_0133 -2.5460 0.1020 -0.3040 0.0000 0.0000 1.0000 1.0000
PT_0134 -2.5460 0.1020 -0.6330 0.0000 0.0000 1.0000 1.0000
PT_0135 -2.5460 0.1020 -0.9610 0.0502 0.0000 0.9498 1.0000
PT_0136 -2.5460 0.1020 -1.2890 0.0896 0.0000 0.9104 1.0000
PT_0137 -2.5460 0.1020 -1.6180 0.0536 0.0000 0.9464 1.0000
PT_0138 -2.5460 0.1020 -9.1690 0.0000 0.0000 1.0000 1.0000
PT_0139 -2.5460 0.1020 -9.4970 0.0000 0.0000 1.0000 1.0000
PT_0140 -2.5460 0.1020 -9.8250 0.0000 0.0000 1.0000 1.0000
PT_0141 -2.5460 0.1020 -10.1540 0.0000 0.0000 1.0000 1.0000
PT_0142 -2.8700 0.1020 -0.3040 0.0000 0.0000 1.0000 1.0000
PT_0143 -2.8700 0.1020 -0.6330 0.0304 0.0000 0.9696 1.0000
PT_0144 -2.8700 0.1020 -0.9610 0.1466 0.0000 0.8534 1.0000
PT_0145 -2.8700 0.1020 -1.2890 0.1889 0.0000 0.8111 1.0000
PT_0146 -2.8700 0.1020 -1.6180 0.1502 0.0000 0.8498 1.0000
PT_0147 -2.8700 0.1020 -9.1690 0.0000 0.0000 1.0000 1.0000
PT_0148 -2.8700 0.1020 -9.4970 0.0000 0.0000 1.0000 1.0000
PT_0149 -2.8700 0.1020 -9.8250 0.0000 0.0000 1.0000 1.0000
PT_0150 -2.8700 0.1020 -10.1540 0.0000 0.0000 1.0000 1.0000
PT_0151 -3.1930 0.1020 -0.3040 0.0000 0.0000 1.0000 1.0000
PT_0152 -3.1930 0.1020 -0.6330 0.0511 0.0000 0.9489 1.0000
